高清央视,#genre#
CCTV7国防军事01[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb26]/wh7f454c46tw3984282630_1427246842/ott.mobaibox.com/PLTV/3/224/3221228283/index.m3u8?icpid=3&RTS=1668594483&from=40&popid=40&hms_devid=2293&prioritypopid=40&vqe=3
CCTV7国防军事02[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/1/224/3221228283/index.m3u8
CCTV7国防军事03[25P8M],http://36.33.240.48:9901/tsfile/live/0007_1.m3u8
CCTV7国防军事04[50P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1236
CCTV7国防军事05[25P4M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV8电视剧01[50P8M],http://222.217.246.54:8282/tsfile/live/1019_1.m3u8
CCTV8电视剧02[25P20M],http://[2409:8087:2001:20:2800:0:df6e:eb26]/ott.mobaibox.com/PLTV/4/224/3221228578/index.m3u8
CCTV8电视剧03[25P12M],http://[2409:8087:2001:20:2800:0:df6e:eb12]/wh7f454c46tw4086984004_1136880123/ott.mobaibox.com/PLTV/3/224/3221227473/index.m3u8?icpid=3&RTS=1668594586&from=40&popid=40&hms_devid=2112&prioritypopid=40&vqe=3
CCTV8电视剧04[25P8M],http://36.33.240.48:9901/tsfile/live/0008_1.m3u8
CCTV8电视剧05[25P5M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV8电视剧06[50P8M],http://121.19.134.245:808/tsfile/live/0008_1.m3u8
CCTV8电视剧07[25P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1189
CCTV9纪录01[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb21]/wh7f454c46tw4254168827_1850088835/ott.mobaibox.com/PLTV/3/224/3221228303/index.m3u8?icpid=3&RTS=1668594753&from=40&popid=40&hms_devid=2290&prioritypopid=40&vqe=3
CCTV9纪录02[25P8M],http://ott.mobaibox.com/PLTV/3/224/3221228303/index.m3u8
CCTV9纪录03[25P8M],http://36.33.240.48:9901/tsfile/live/0009_1.m3u8
CCTV9纪录04[50P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1237
CCTV9纪录05[25P4M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV10科教01[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb21]/wh7f454c46tw30319478_-185824076/ott.mobaibox.com/PLTV/3/224/3221228286/index.m3u8?icpid=3&RTS=1668594824&from=40&popid=40&hms_devid=2290&prioritypopid=40&vqe=3
CCTV10科教02[25P8M],http://ott.mobaibox.com/PLTV/3/224/3221228286/index.m3u8
CCTV10科教03[25P4M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV10科教04[50P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1238
CCTV11戏曲01[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb23]/wh7f454c46tw105619488_1866436632/ott.mobaibox.com/PLTV/3/224/3221228289/index.m3u8?icpid=3&RTS=1668594900&from=40&popid=40&hms_devid=2291&prioritypopid=40&vqe=3
CCTV11戏曲02[25P8M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8
CCTV11戏曲03[50P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1309
CCTV12社会与法01[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb23]/wh7f454c46tw185877003_-533945400/ott.mobaibox.com/PLTV/3/224/3221228401/index.m3u8?icpid=3&RTS=1668594980&from=40&popid=40&hms_devid=2291&prioritypopid=40&vqe=3
CCTV12社会与法02[50P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1239
CCTV12社会与法03[25P4M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8
CCTV13新闻01[25P8M],http://[2409:8087:2001:20:2800:0:df6e:eb16]/wh7f454c46tw259647455_-1559913959/ott.mobaibox.com/PLTV/3/224/3221228224/index.m3u8?icpid=3&RTS=1668595054&from=40&popid=40&hms_devid=2114&prioritypopid=40&vqe=3
CCTV13新闻02[25P8M],http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV13新闻03[50P8M],http://www.biaozhun114.com/tvbox/iptv9.php?1328
